RX_MMSI,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,ROT,SOG,Position_Accuracy,Longitude,Latitude,COG,True_Heading,Time_Stamp,Ship_and_Cargo_Type,Reference_Position_A,Reference_Position_B,Reference_Position_C,Reference_Position_D,Fixing_Device,ETA,MAX_Draught,Destination,DTE,Record_Time
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.303062,24.073612,197.2,201,56,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:20:54
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.303062,24.073612,197.2,201,56,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:20:54
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.303272,24.074242,197.7,201,35,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:20:34
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.303272,24.074242,197.7,201,35,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:20:33
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.303153,24.073882,197.2,201,47,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:20:45
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.303153,24.073882,197.2,201,47,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:20:45
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.302433,24.071782,197.7,201,57,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:21:54
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.302433,24.071782,197.7,201,57,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:21:54
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.302853,24.073013,198.2,201,16,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:21:15
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.302853,24.073013,198.2,201,16,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:21:15
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.302970,24.073340,197.1,201,5,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:21:04
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.302537,24.072080,196.7,201,47,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:21:45
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.302537,24.072080,196.7,201,47,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:21:45
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.302758,24.072742,198,201,26,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:21:23
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.302758,24.072742,198,201,26,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:21:23
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.302657,24.072442,197.7,201,36,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:21:34
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.302657,24.072442,197.7,201,36,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:21:33
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.301818,24.070007,197.4,201,56,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:22:54
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.301818,24.070007,197.4,201,56,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:22:54
