mmsi,length,width,avgspeed,type,enterLAT,enterLON,enterTIME,leaveLAT,leaveLON,leaveTIME,BoundFor,shortest_dist,shortest_dist_time
416004947,14.000000,4.000000,0.656762,30,24.026171666666666,120.282055,2020-03-25 00:55:58,24.025939999999999,120.28042333333333,2020-03-25 21:11:39,South,2.888593,2020-03-25 21:11:39,24.025939999999999,120.28042333333333
416005028,0.000000,0.000000,55.500000,30,23.983416666666667,120.26989,2020-03-25 01:35:36,23.983416666666667,120.26989,2020-03-25 01:35:36,SingleAISMsg,1.963930,2020-03-25 01:35:36,23.983416666666667,120.26989
412596776,5.000000,0.000000,0.476121,0,24.025224999999999,120.28546833333333,2020-03-25 03:16:44,23.979748333333333,120.25633500000001,2020-03-25 23:53:02,South,2.900398,2020-03-25 23:53:02,23.979748333333333,120.25633500000001
416000822,0.000000,0.000000,0.482021,30,24.025476666666666,120.28341333333333,2020-03-25 03:17:46,23.979785,120.25468499999999,2020-03-25 23:53:40,South,2.999026,2020-03-25 23:53:40,23.979785,120.25468499999999
416005031,14.000000,4.000000,0.674209,30,23.976456666666667,120.26329833333334,2020-03-25 07:11:49,24.015820000000001,120.26857333333334,2020-03-25 21:00:32,North,1.731097,2020-03-25 21:00:32,24.015820000000001,120.26857333333334
416002857,22.000000,4.000000,0.730173,30,24.011144999999999,120.30016999999999,2020-03-25 13:30:39,24.024183333333333,120.28507833333333,2020-03-25 21:07:58,North,2.865801,2020-03-25 21:07:58,24.024183333333333,120.28507833333333
416006013,9.000000,4.000000,3.427151,30,24.025836666666667,120.28350833333333,2020-03-25 14:19:48,23.995946666666665,120.244635,2020-03-25 15:09:47,South,2.947489,2020-03-25 15:09:47,23.995946666666665,120.244635
416005554,20.000000,9.000000,0.586578,99,24.000805,120.27292333333334,2020-03-25 15:43:50,24.016283333333334,120.276365,2020-03-25 17:20:57,North,1.749540,2020-03-25 17:20:57,24.016283333333334,120.276365
416001695,11.000000,4.000000,4.827210,30,24.020890000000001,120.290165,2020-03-25 17:18:53,24.020941666666666,120.29211166666667,2020-03-25 18:37:48,North,2.951455,2020-03-25 18:37:48,24.020941666666666,120.29211166666667
416005030,0.000000,0.000000,80.400000,0,23.985678333333333,120.26748833333333,2020-03-25 20:36:33,23.985678333333333,120.26748833333333,2020-03-25 20:36:33,SingleAISMsg,1.779894,2020-03-25 20:36:33,23.985678333333333,120.26748833333333
200000728,-1.000000,0.000000,1.700000,0,23.974371666666666,120.27173333333333,2020-03-25 20:52:18,24.015703333333335,120.2518,2020-03-25 23:58:53,North,2.728035,2020-03-25 23:58:53,24.015703333333335,120.2518
200010256,-1.000000,0.000000,1.917148,0,23.975763333333333,120.28366,2020-03-25 21:11:55,24.003640000000001,120.25119833333333,2020-03-25 22:48:10,North,2.252213,2020-03-25 22:48:10,24.003640000000001,120.25119833333333
200000729,-1.000000,0.000000,1.525891,0,23.976076666666668,120.28359,2020-03-25 21:12:39,24.015683333333332,120.25202166666666,2020-03-25 23:59:55,North,2.708810,2020-03-25 23:59:55,24.015683333333332,120.25202166666666
200010257,-1.000000,0.000000,1.500296,0,23.976108333333332,120.28359166666667,2020-03-25 21:12:41,24.01512,120.25123166666667,2020-03-25 23:56:17,North,2.735975,2020-03-25 23:56:17,24.01512,120.25123166666667
200010255,-1.000000,0.000000,0.671829,0,24.002901666666666,120.24397833333333,2020-03-25 22:34:21,24.015988333333333,120.25274333333333,2020-03-25 23:56:59,North,2.672362,2020-03-25 23:56:59,24.015988333333333,120.25274333333333
